企業名,会計年度,四半期,y_hat_men_i_tuned,best_hyparam
アステラス製薬,2020,Q3,33.50061677865237,[100.   0.]
アステラス製薬,2020,Q4,13.138582655201905,[100.   0.]
アズビル,2018,Q1,15.235161523134323,[100.    0.8]
アズビル,2018,Q2,47.03687968076957,[100.    0.8]
アズビル,2018,Q3,-12.985504508644397,[100.    0.8]
アズビル,2018,Q4,86.25857563028119,[100.    0.8]
アズビル,2019,Q1,7.592181429530186,[100.    0.8]
アズビル,2019,Q2,26.146708073794713,[100.    0.8]
アズビル,2019,Q3,-2.852494049916487,[100.    0.8]
アズビル,2019,Q4,35.41074957499842,[100.    0.8]
アズビル,2020,Q1,6.908298282746365,[100.    0.8]
アズビル,2020,Q2,29.602718637685605,[100.    0.8]
アズビル,2020,Q3,34.1589121196372,[100.    0.8]
アズビル,2020,Q4,50.7805765103483,[100.    0.8]
アズワン,2018,Q1,72.29469919739965,[10000.     0.]
アズワン,2018,Q2,66.95039943935782,[10000.     0.]
アズワン,2018,Q3,72.73242871339951,[10000.     0.]
アズワン,2018,Q4,84.6838336270167,[10000.     0.]
アズワン,2019,Q1,78.1017042390867,[10000.     0.]
アズワン,2019,Q2,68.18731734811438,[10000.     0.]
アズワン,2019,Q3,75.27319573536954,[10000.     0.]
アズワン,2019,Q4,82.03017585099875,[10000.     0.]
アズワン,2020,Q1,78.22296668076135,[10000.     0.]
アズワン,2020,Q2,71.19984397299454,[10000.     0.]
アズワン,2020,Q3,85.61361880195433,[10000.     0.]
アズワン,2020,Q4,89.4923271825396,[10000.     0.]
アツギ,2018,Q1,1.2128605041937404,[1.e+04 7.e-01]
アツギ,2018,Q2,0.8014716153048512,[1.e+04 7.e-01]
アツギ,2018,Q3,1.2220271708604067,[1.e+04 7.e-01]
アツギ,2018,Q4,1.2745271708604067,[1.e+04 7.e-01]
アツギ,2019,Q1,-4.191861718028482,[1.e+04 7.e-01]
アツギ,2019,Q2,-4.656861718028483,[1.e+04 7.e-01]
アツギ,2019,Q3,-4.6338061624729265,[1.e+04 7.e-01]
アツギ,2019,Q4,-12.952695051361815,[1.e+04 7.e-01]
アツギ,2020,Q1,-14.622972829139592,[1.e+04 7.e-01]
アツギ,2020,Q2,-16.09575060691737,[1.e+04 7.e-01]
アツギ,2020,Q3,-15.774917273584038,[1.e+04 7.e-01]
アツギ,2020,Q4,-16.556861718028482,[1.e+04 7.e-01]
アドウェイズ,2018,Q1,-2.0535212779675014,[100.   0.]
アドウェイズ,2018,Q2,-3.0274389820510716,[100.   0.]
アドウェイズ,2018,Q3,7.382697447592367,[100.   0.]
アドウェイズ,2018,Q4,-1.5228578350736899,[100.   0.]
アドウェイズ,2019,Q1,-8.039298578039554,[100.   0.]
アドウェイズ,2019,Q2,1.6302236623312587,[100.   0.]
アドウェイズ,2019,Q3,-0.8730418069091028,[100.   0.]
アドウェイズ,2019,Q4,-0.9731772475168623,[100.   0.]
アドウェイズ,2020,Q1,-8.4062196927505,[100.   0.]
アドウェイズ,2020,Q2,-7.904567169810102,[100.   0.]
アドウェイズ,2020,Q3,-0.9965019567838362,[100.   0.]
アドウェイズ,2020,Q4,3.3763566902656956,[100.   0.]
アドソル日進,2018,Q1,16.652734066491398,[10.  1.]
アドソル日進,2018,Q2,17.37104861236054,[10.  1.]
アドソル日進,2018,Q3,17.32852704277844,[10.  1.]
アドソル日進,2018,Q4,14.254267363438991,[10.  1.]
アドソル日進,2019,Q1,22.260993581724875,[10.  1.]
アドソル日進,2019,Q2,23.993277675332436,[10.  1.]
アドソル日進,2019,Q3,24.204771027121726,[10.  1.]
アドソル日進,2019,Q4,18.62672612408288,[10.  1.]
アドソル日進,2020,Q1,25.68673714414935,[10.  1.]
アドソル日進,2020,Q2,25.21335462118725,[10.  1.]
アドソル日進,2020,Q3,25.467587706132708,[10.  1.]
アドソル日進,2020,Q4,17.21988182381501,[10.  1.]
アドバネクス,2018,Q1,-0.1518077380935967,[100.    0.3]
アドバネクス,2018,Q2,9.035605460647595,[100.    0.3]
アドバネクス,2018,Q3,-5.374146622817412,[100.    0.3]
アドバネクス,2018,Q4,-22.426643428748825,[100.    0.3]
アドバネクス,2019,Q1,-15.331548528562474,[100.    0.3]
