企業名,会計年度,四半期,y_hat_mmlp
アートネイチャー,2019,Q4,22.459383
アートネイチャー,2020,Q1,18.172342
アートネイチャー,2020,Q2,4.863553
アートネイチャー,2020,Q3,-32.899597
アートネイチャー,2020,Q4,12.414977
アーレスティ,2018,Q1,43.22155
アーレスティ,2018,Q2,4.412805
アーレスティ,2018,Q3,-1.6222951
アーレスティ,2018,Q4,17.166903
アーレスティ,2019,Q1,19.509727
アーレスティ,2019,Q2,-15.395291
アーレスティ,2019,Q3,24.027802
アーレスティ,2019,Q4,54.85177
アーレスティ,2020,Q1,30.629927
アーレスティ,2020,Q2,-71.51494
アーレスティ,2020,Q3,-55.514336
アーレスティ,2020,Q4,65.33527
イエローハット,2018,Q1,52.682667
イエローハット,2018,Q2,46.86706
イエローハット,2018,Q3,145.7567
イエローハット,2018,Q4,62.289555
イエローハット,2019,Q1,58.99802
イエローハット,2019,Q2,79.00872
イエローハット,2019,Q3,93.45371
イエローハット,2019,Q4,53.72215
イエローハット,2020,Q1,92.88221
イエローハット,2020,Q2,10.233131
イエローハット,2020,Q3,133.85608
イエローハット,2020,Q4,4.5384245
イソライト工業,2018,Q1,6.456809
イソライト工業,2018,Q2,18.713894
イソライト工業,2018,Q3,22.279205
イソライト工業,2018,Q4,20.187693
イソライト工業,2019,Q1,7.9711933
イソライト工業,2019,Q2,14.871555
イソライト工業,2019,Q3,19.22211
イソライト工業,2019,Q4,8.637564
イソライト工業,2020,Q1,20.932749
イソライト工業,2020,Q2,17.101595
イソライト工業,2020,Q3,15.058671
イソライト工業,2020,Q4,15.2447815
イチカワ,2018,Q1,-3.662645
イチカワ,2018,Q2,7.9280167
イチカワ,2018,Q3,0.056346163
イチカワ,2018,Q4,9.334001
イチカワ,2019,Q1,1.1789206
イチカワ,2019,Q2,9.063285
イチカワ,2019,Q3,6.1135726
イチカワ,2019,Q4,30.77286
イチカワ,2020,Q1,17.288034
イチカワ,2020,Q2,14.472394
イチカワ,2020,Q3,20.88916
イチカワ,2020,Q4,-1.8889271
イチケン,2018,Q1,15.939147
イチケン,2018,Q2,28.619999
イチケン,2018,Q3,8.675695
イチケン,2018,Q4,71.58912
イチケン,2019,Q1,108.25897
イチケン,2019,Q2,121.49195
イチケン,2019,Q3,72.53605
イチケン,2019,Q4,104.67159
イチケン,2020,Q1,94.82848
イチケン,2020,Q2,71.009964
イチケン,2020,Q3,103.386955
イチケン,2020,Q4,169.90454
イチネンホールディングス,2018,Q1,36.696133
イチネンホールディングス,2018,Q2,38.555595
イチネンホールディングス,2018,Q3,33.62246
イチネンホールディングス,2018,Q4,41.539852
イチネンホールディングス,2019,Q1,47.722034
イチネンホールディングス,2019,Q2,89.58646
イチネンホールディングス,2019,Q3,30.402445
イチネンホールディングス,2019,Q4,41.395912
イチネンホールディングス,2020,Q1,31.48295
