企業名,会計年度,四半期,y_hat_ml2_i_tuned,best_hyparam
アドウェイズ,2020,Q4,0.9527404454409574,[10.72267222]
アドソル日進,2018,Q1,14.611784090526283,[100.]
アドソル日進,2018,Q2,11.051858259405337,[100.]
アドソル日進,2018,Q3,15.6276251287639,[100.]
アドソル日進,2018,Q4,9.070271085798698,[100.]
アドソル日進,2019,Q1,28.484040545366287,[100.]
アドソル日進,2019,Q2,31.797596288381495,[100.]
アドソル日進,2019,Q3,28.85381243618517,[100.]
アドソル日進,2019,Q4,13.995310417107824,[100.]
アドソル日進,2020,Q1,32.66325269623819,[100.]
アドソル日進,2020,Q2,29.22323600794564,[100.]
アドソル日進,2020,Q3,31.704104352747226,[100.]
アドソル日進,2020,Q4,17.212240751813177,[100.]
アドバネクス,2018,Q1,13.162706911284365,[100.]
アドバネクス,2018,Q2,-19.646075111743233,[100.]
アドバネクス,2018,Q3,-9.361860542050685,[100.]
アドバネクス,2018,Q4,-61.01967735887807,[100.]
アドバネクス,2019,Q1,-39.77984001864533,[100.]
アドバネクス,2019,Q2,47.165045846039014,[100.]
アドバネクス,2019,Q3,15.617300220416077,[100.]
アドバネクス,2019,Q4,13.551038585774691,[100.]
アドバネクス,2020,Q1,-71.37573698629767,[100.]
アドバネクス,2020,Q2,-96.07591296468837,[100.]
アドバネクス,2020,Q3,-7.448944227035545,[100.]
アドバネクス,2020,Q4,-240.66623564585808,[100.]
アドバンテスト,2018,Q1,89.26466702673788,[100.]
アドバンテスト,2018,Q2,69.79101862752351,[100.]
アドバンテスト,2018,Q3,78.04454091002496,[100.]
アドバンテスト,2018,Q4,38.89352240763606,[100.]
アドバンテスト,2019,Q1,55.571750237261156,[100.]
アドバンテスト,2019,Q2,64.60754080807962,[100.]
アドバンテスト,2019,Q3,52.79565266446682,[100.]
アドバンテスト,2019,Q4,50.08623980326168,[100.]
アドバンテスト,2020,Q1,65.69128676503195,[100.]
アドバンテスト,2020,Q2,73.09785744017728,[100.]
アドバンテスト,2020,Q3,53.13089751931169,[100.]
アドバンテスト,2020,Q4,102.74646303183722,[100.]
アドヴァングループ,2018,Q1,-12.490446997655189,[24.77076356]
アドヴァングループ,2018,Q2,29.677352030037532,[24.77076356]
アドヴァングループ,2018,Q3,44.76555142104353,[24.77076356]
アドヴァングループ,2018,Q4,-8.40171459130288,[24.77076356]
アドヴァングループ,2019,Q1,49.502947067125994,[24.77076356]
アドヴァングループ,2019,Q2,29.629740962460545,[24.77076356]
アドヴァングループ,2019,Q3,39.10376446386947,[24.77076356]
アドヴァングループ,2019,Q4,32.553978938830426,[24.77076356]
アドヴァングループ,2020,Q1,21.00308537846319,[24.77076356]
アドヴァングループ,2020,Q2,25.84446617858672,[24.77076356]
アドヴァングループ,2020,Q3,23.476854068236918,[24.77076356]
アドヴァングループ,2020,Q4,23.94836490207704,[24.77076356]
アネスト岩田,2018,Q1,17.192721326388916,[47.50810162]
アネスト岩田,2018,Q2,27.538553450362002,[47.50810162]
アネスト岩田,2018,Q3,19.559896406954145,[47.50810162]
アネスト岩田,2018,Q4,16.754085281119607,[47.50810162]
アネスト岩田,2019,Q1,19.757410747626416,[47.50810162]
アネスト岩田,2019,Q2,22.822096993665273,[47.50810162]
アネスト岩田,2019,Q3,10.66634518041798,[47.50810162]
アネスト岩田,2019,Q4,17.74880324456001,[47.50810162]
アネスト岩田,2020,Q1,11.997362052965496,[47.50810162]
アネスト岩田,2020,Q2,19.99088429068801,[47.50810162]
アネスト岩田,2020,Q3,21.3586487376612,[47.50810162]
アネスト岩田,2020,Q4,20.813489242925215,[47.50810162]
アマダ,2018,Q1,1.2697132033268739,[100.]
アマダ,2018,Q2,20.771218153803886,[100.]
アマダ,2018,Q3,21.810257146403558,[100.]
アマダ,2018,Q4,27.459426575141496,[100.]
アマダ,2019,Q1,13.431005144747434,[100.]
アマダ,2019,Q2,29.40889361187026,[100.]
アマダ,2019,Q3,12.326419472124392,[100.]
アマダ,2019,Q4,25.12657045351907,[100.]
アマダ,2020,Q1,6.794127830769705,[100.]
アマダ,2020,Q2,29.373690528749776,[100.]
アマダ,2020,Q3,27.17911025976565,[100.]
アマダ,2020,Q4,17.669890659584304,[100.]
アマノ,2018,Q1,6.138100529566827,[100.]
アマノ,2018,Q2,33.171591159693534,[100.]
アマノ,2018,Q3,31.121934855342722,[100.]
アマノ,2018,Q4,56.11041993126957,[100.]
アマノ,2019,Q1,18.74417872889596,[100.]
アマノ,2019,Q2,36.19023297050481,[100.]
アマノ,2019,Q3,30.49506927515435,[100.]
アマノ,2019,Q4,40.54654220234753,[100.]
アマノ,2020,Q1,1.093081450642181,[100.]
アマノ,2020,Q2,22.46448829629753,[100.]
アマノ,2020,Q3,15.784763519453548,[100.]
