企業名,会計年度,四半期,y_hat_mraf,best_hyparam
アジアパイルホールディングス,2019,Q3,20.38149999999999,[2000 100]
アジアパイルホールディングス,2019,Q4,19.1584049999999,[2000 100]
アジアパイルホールディングス,2020,Q1,13.800139999999995,[2000 100]
アジアパイルホールディングス,2020,Q2,22.25688499999979,[2000 100]
アジアパイルホールディングス,2020,Q3,21.17845999999988,[2000 100]
アジアパイルホールディングス,2020,Q4,10.639635000000002,[2000 100]
アステラス製薬,2018,Q1,22.887900000000013,[100 10]
アステラス製薬,2018,Q2,21.9986,[100 10]
アステラス製薬,2018,Q3,26.63979999999999,[100 10]
アステラス製薬,2018,Q4,21.54660000000001,[100 10]
アステラス製薬,2019,Q1,28.76607759780394,[100 10]
アステラス製薬,2019,Q2,26.71545,[100 10]
アステラス製薬,2019,Q3,34.0732,[100 10]
アステラス製薬,2019,Q4,25.26496237753096,[100 10]
アステラス製薬,2020,Q1,29.273900000000022,[100 10]
アステラス製薬,2020,Q2,29.506064073840214,[100 10]
アステラス製薬,2020,Q3,30.90740000000001,[100 10]
アステラス製薬,2020,Q4,23.23602759780395,[100 10]
アズビル,2018,Q1,15.689020000000165,[1000 10]
アズビル,2018,Q2,60.3473700000001,[1000 10]
アズビル,2018,Q3,30.465385487750893,[1000 10]
アズビル,2018,Q4,43.90340763548628,[1000 10]
アズビル,2019,Q1,14.810881684731562,[1000 10]
アズビル,2019,Q2,43.8922695369959,[1000 10]
アズビル,2019,Q3,33.5330050541945,[1000 10]
アズビル,2019,Q4,41.48860921182879,[1000 10]
アズビル,2020,Q1,1.1318399999999909,[1000 10]
アズビル,2020,Q2,33.78008673892599,[1000 10]
アズビル,2020,Q3,33.22568999999994,[1000 10]
アズビル,2020,Q4,52.94776584236538,[1000 10]
アズワン,2018,Q1,66.62079999999999,[100 10]
アズワン,2018,Q2,64.49150000000003,[100 10]
アズワン,2018,Q3,71.92110000000007,[100 10]
アズワン,2018,Q4,73.21770000000006,[100 10]
アズワン,2019,Q1,73.6222000000001,[100 10]
アズワン,2019,Q2,71.53970000000005,[100 10]
アズワン,2019,Q3,74.42649999999999,[100 10]
アズワン,2019,Q4,75.16570000000003,[100 10]
アズワン,2020,Q1,77.15890000000002,[100 10]
アズワン,2020,Q2,80.22400000000003,[100 10]
アズワン,2020,Q3,80.58910000000003,[100 10]
アズワン,2020,Q4,85.32940000000006,[100 10]
