企業名,会計年度,四半期,y_hat_umlp
イチケン,2018,Q1,-1.9468892
イチケン,2018,Q2,44.109818
イチケン,2018,Q3,34.395203
イチケン,2018,Q4,30.139763
イチケン,2019,Q1,34.9962
イチケン,2019,Q2,49.18119
イチケン,2019,Q3,102.455864
イチケン,2019,Q4,140.77734
イチケン,2020,Q1,57.787113
イチケン,2020,Q2,106.35013
イチケン,2020,Q3,46.62845
イチケン,2020,Q4,67.95771
イチネンホールディングス,2018,Q1,32.022804
イチネンホールディングス,2018,Q2,53.43968
イチネンホールディングス,2018,Q3,81.49317
イチネンホールディングス,2018,Q4,-26.261381
イチネンホールディングス,2019,Q1,18.099428
イチネンホールディングス,2019,Q2,60.024723
イチネンホールディングス,2019,Q3,32.191914
イチネンホールディングス,2019,Q4,40.35493
イチネンホールディングス,2020,Q1,34.547176
