企業名,会計年度,四半期,y_hat_rw
アートネイチャー,2019,Q4,-14.62
アートネイチャー,2020,Q1,2.87
アートネイチャー,2020,Q2,-44.46
アートネイチャー,2020,Q3,30.68
アートネイチャー,2020,Q4,34.38
イエローハット,2018,Q1,54.68
イエローハット,2018,Q2,56.76
イエローハット,2018,Q3,52.81
イエローハット,2018,Q4,157.88
イエローハット,2019,Q1,46.63167661749522
イエローハット,2019,Q2,36.25
イエローハット,2019,Q3,55.62
イエローハット,2019,Q4,62.78
イエローハット,2020,Q1,4.41
イエローハット,2020,Q2,29.69
イエローハット,2020,Q3,42.88
イエローハット,2020,Q4,103.28
イソライト工業,2018,Q1,19.28
イソライト工業,2018,Q2,19.8
イソライト工業,2018,Q3,23.53
イソライト工業,2018,Q4,24.53
イソライト工業,2019,Q1,-5.24
イソライト工業,2019,Q2,21.54
イソライト工業,2019,Q3,24.69
イソライト工業,2019,Q4,23.38
イソライト工業,2020,Q1,10.73
イソライト工業,2020,Q2,13.52
イソライト工業,2020,Q3,12.81
イソライト工業,2020,Q4,18.88
イチカワ,2018,Q1,-0.85
イチカワ,2018,Q2,4.65
イチカワ,2018,Q3,8.656872884652849
イチカワ,2018,Q4,25.1
イチカワ,2019,Q1,-14.98
イチカワ,2019,Q2,12.86
イチカワ,2019,Q3,10.47
イチカワ,2019,Q4,33.48
イチカワ,2020,Q1,21.12
イチカワ,2020,Q2,11.14
イチカワ,2020,Q3,19.72
イチカワ,2020,Q4,-3.37
イチケン,2018,Q1,122.87
イチケン,2018,Q2,25.83
イチケン,2018,Q3,149.37
イチケン,2018,Q4,145.44
イチケン,2019,Q1,115.15
イチケン,2019,Q2,78.8
イチケン,2019,Q3,120.38
イチケン,2019,Q4,104.85
イチケン,2020,Q1,98.0
イチケン,2020,Q2,62.14
イチケン,2020,Q3,150.02
イチケン,2020,Q4,179.66
イチネンホールディングス,2018,Q1,46.16
イチネンホールディングス,2018,Q2,39.24
イチネンホールディングス,2018,Q3,94.69
イチネンホールディングス,2018,Q4,39.71
イチネンホールディングス,2019,Q1,34.77
イチネンホールディングス,2019,Q2,37.41
イチネンホールディングス,2019,Q3,50.39
イチネンホールディングス,2019,Q4,39.95
イチネンホールディングス,2020,Q1,52.39
イチネンホールディングス,2020,Q2,38.96
イチネンホールディングス,2020,Q3,-8.38
イチネンホールディングス,2020,Q4,52.33
イノテック,2018,Q1,12.25
イノテック,2018,Q2,9.15
イノテック,2018,Q3,31.08
イノテック,2018,Q4,45.02
イノテック,2019,Q1,8.43
イノテック,2019,Q2,0.27
イノテック,2019,Q3,28.81
イノテック,2019,Q4,21.07
イノテック,2020,Q1,31.59
イノテック,2020,Q2,6.55
イノテック,2020,Q3,16.34
イノテック,2020,Q4,46.68
イビデン,2018,Q1,23.41
イビデン,2018,Q2,19.25
イビデン,2018,Q3,20.18
イビデン,2018,Q4,-44.69
イビデン,2019,Q1,28.93
イビデン,2019,Q2,20.78
イビデン,2019,Q3,7.11
イビデン,2019,Q4,30.67
イビデン,2020,Q1,22.52
イビデン,2020,Q2,32.89
イビデン,2020,Q3,50.72
イビデン,2020,Q4,69.54
イフジ産業,2018,Q1,16.05
イフジ産業,2018,Q2,15.99
イフジ産業,2018,Q3,13.89
イフジ産業,2018,Q4,22.45
イフジ産業,2019,Q1,13.96
イフジ産業,2019,Q2,21.9
イフジ産業,2019,Q3,15.94
イフジ産業,2019,Q4,25.71
イフジ産業,2020,Q1,11.65
イフジ産業,2020,Q2,19.09
イフジ産業,2020,Q3,24.95
イフジ産業,2020,Q4,38.83
イリソ電子工業,2018,Q1,43.6
イリソ電子工業,2018,Q2,67.13
イリソ電子工業,2018,Q3,58.34
イリソ電子工業,2018,Q4,38.33
イリソ電子工業,2019,Q1,-6.26
イリソ電子工業,2019,Q2,38.6
イリソ電子工業,2019,Q3,32.28
イリソ電子工業,2019,Q4,45.84
イリソ電子工業,2020,Q1,22.77
イリソ電子工業,2020,Q2,-18.37
イリソ電子工業,2020,Q3,18.72
イリソ電子工業,2020,Q4,46.53
インフォコム,2018,Q1,47.15
インフォコム,2018,Q2,17.52
インフォコム,2018,Q3,51.13
インフォコム,2018,Q4,30.66
インフォコム,2019,Q1,37.8
インフォコム,2019,Q2,15.71
インフォコム,2019,Q3,31.37
インフォコム,2019,Q4,25.6
インフォコム,2020,Q1,28.64
インフォコム,2020,Q2,26.33
インフォコム,2020,Q3,35.36
インフォコム,2020,Q4,28.26
インプレスホールディングス,2018,Q1,-6.64
インプレスホールディングス,2018,Q2,7.89
インプレスホールディングス,2018,Q3,2.94
インプレスホールディングス,2018,Q4,15.6
インプレスホールディングス,2019,Q1,-12.31
インプレスホールディングス,2019,Q2,2.63
インプレスホールディングス,2019,Q3,7.8
インプレスホールディングス,2019,Q4,18.03
インプレスホールディングス,2020,Q1,-17.1
インプレスホールディングス,2020,Q2,7.7
インプレスホールディングス,2020,Q3,6.76
インプレスホールディングス,2020,Q4,19.72
イーグル工業,2018,Q1,37.77
イーグル工業,2018,Q2,43.25
イーグル工業,2018,Q3,41.24
イーグル工業,2018,Q4,19.86
イーグル工業,2019,Q1,39.02
イーグル工業,2019,Q2,25.35
イーグル工業,2019,Q3,23.85
イーグル工業,2019,Q4,-2.11
イーグル工業,2020,Q1,12.15
イーグル工業,2020,Q2,-27.08
イーグル工業,2020,Q3,6.81
イーグル工業,2020,Q4,61.71
ウシオ電機,2018,Q1,19.55
ウシオ電機,2018,Q2,17.67
