企業名,会計年度,四半期,y_hat_srw
イエローハット,2020,Q1,36.25
イエローハット,2020,Q2,55.62
イエローハット,2020,Q3,62.78
イエローハット,2020,Q4,4.41
イソライト工業,2018,Q1,23.44
イソライト工業,2018,Q2,28.8
イソライト工業,2018,Q3,25.7
イソライト工業,2018,Q4,19.28
イソライト工業,2019,Q1,19.8
イソライト工業,2019,Q2,23.53
イソライト工業,2019,Q3,24.53
イソライト工業,2019,Q4,-5.24
イソライト工業,2020,Q1,21.54
イソライト工業,2020,Q2,24.69
イソライト工業,2020,Q3,23.38
イソライト工業,2020,Q4,10.73
イチカワ,2018,Q1,1.45
イチカワ,2018,Q2,8.27
イチカワ,2018,Q3,5.64
イチカワ,2018,Q4,-0.85
イチカワ,2019,Q1,4.65
イチカワ,2019,Q2,8.656872884652849
イチカワ,2019,Q3,25.1
イチカワ,2019,Q4,-14.98
イチカワ,2020,Q1,12.86
イチカワ,2020,Q2,10.47
イチカワ,2020,Q3,33.48
イチカワ,2020,Q4,21.12
イチケン,2018,Q1,28.82
イチケン,2018,Q2,9.933410379175609
イチケン,2018,Q3,173.84
イチケン,2018,Q4,122.87
イチケン,2019,Q1,25.83
イチケン,2019,Q2,149.37
イチケン,2019,Q3,145.44
イチケン,2019,Q4,115.15
イチケン,2020,Q1,78.8
イチケン,2020,Q2,120.38
イチケン,2020,Q3,104.85
イチケン,2020,Q4,98.0
イチネンホールディングス,2018,Q1,34.91
イチネンホールディングス,2018,Q2,43.31
イチネンホールディングス,2018,Q3,32.06
イチネンホールディングス,2018,Q4,46.16
イチネンホールディングス,2019,Q1,39.24
イチネンホールディングス,2019,Q2,94.69
イチネンホールディングス,2019,Q3,39.71
イチネンホールディングス,2019,Q4,34.77
イチネンホールディングス,2020,Q1,37.41
イチネンホールディングス,2020,Q2,50.39
イチネンホールディングス,2020,Q3,39.95
イチネンホールディングス,2020,Q4,52.39
イノテック,2018,Q1,4.21
イノテック,2018,Q2,12.24
イノテック,2018,Q3,12.32
イノテック,2018,Q4,12.25
イノテック,2019,Q1,9.15
イノテック,2019,Q2,31.08
イノテック,2019,Q3,45.02
イノテック,2019,Q4,8.43
イノテック,2020,Q1,0.27
イノテック,2020,Q2,28.81
イノテック,2020,Q3,21.07
イノテック,2020,Q4,31.59
イビデン,2018,Q1,13.44
イビデン,2018,Q2,33.13
イビデン,2018,Q3,13.12
イビデン,2018,Q4,23.41
イビデン,2019,Q1,19.25
イビデン,2019,Q2,20.18
イビデン,2019,Q3,-44.69
イビデン,2019,Q4,28.93
イビデン,2020,Q1,20.78
イビデン,2020,Q2,7.11
イビデン,2020,Q3,30.67
イビデン,2020,Q4,22.52
イフジ産業,2018,Q1,14.58
イフジ産業,2018,Q2,16.15
イフジ産業,2018,Q3,19.89
イフジ産業,2018,Q4,16.05
イフジ産業,2019,Q1,15.99
イフジ産業,2019,Q2,13.89
イフジ産業,2019,Q3,22.45
イフジ産業,2019,Q4,13.96
イフジ産業,2020,Q1,21.9
イフジ産業,2020,Q2,15.94
イフジ産業,2020,Q3,25.71
イフジ産業,2020,Q4,11.65
イリソ電子工業,2018,Q1,117.94
イリソ電子工業,2018,Q2,61.94
イリソ電子工業,2018,Q3,65.96
イリソ電子工業,2018,Q4,43.6
イリソ電子工業,2019,Q1,67.13
