企業名,会計年度,四半期,y_hat_umlp
アネスト岩田,2019,Q3,14.221755
アネスト岩田,2019,Q4,23.774342
アネスト岩田,2020,Q1,14.696724
アネスト岩田,2020,Q2,24.538609
アネスト岩田,2020,Q3,24.496124
アネスト岩田,2020,Q4,25.896692
アマダ,2018,Q1,9.402526
アマダ,2018,Q2,26.849518
アマダ,2018,Q3,19.834114
アマダ,2018,Q4,24.173847
アマダ,2019,Q1,19.63769
アマダ,2019,Q2,15.77709
アマダ,2019,Q3,13.845628
アマダ,2019,Q4,25.731127
アマダ,2020,Q1,9.831929
アマダ,2020,Q2,24.932848
アマダ,2020,Q3,20.623053
アマダ,2020,Q4,22.00291
アマノ,2018,Q1,8.3595085
アマノ,2018,Q2,15.80031
アマノ,2018,Q3,30.732252
アマノ,2018,Q4,20.465118
アマノ,2019,Q1,10.878928
アマノ,2019,Q2,37.136528
アマノ,2019,Q3,20.802837
アマノ,2019,Q4,40.83092
アマノ,2020,Q1,13.013414
アマノ,2020,Q2,32.469414
アマノ,2020,Q3,24.649754
アマノ,2020,Q4,34.00011
アミューズ,2018,Q1,64.611595
アミューズ,2018,Q2,38.86994
アミューズ,2018,Q3,67.95935
アミューズ,2018,Q4,78.335915
アミューズ,2019,Q1,63.55144
アミューズ,2019,Q2,52.973793
アミューズ,2019,Q3,72.33357
アミューズ,2019,Q4,59.859547
アミューズ,2020,Q1,82.67395
アミューズ,2020,Q2,66.12547
アミューズ,2020,Q3,72.16158
アミューズ,2020,Q4,61.2813
アリアケジャパン,2018,Q1,51.573936
アリアケジャパン,2018,Q2,56.81117
アリアケジャパン,2018,Q3,60.295254
アリアケジャパン,2018,Q4,39.518925
アリアケジャパン,2019,Q1,16.09257
アリアケジャパン,2019,Q2,50.768795
アリアケジャパン,2019,Q3,65.22636
アリアケジャパン,2019,Q4,59.78055
アリアケジャパン,2020,Q1,47.662296
アリアケジャパン,2020,Q2,61.722626
アリアケジャパン,2020,Q3,66.11483
アリアケジャパン,2020,Q4,53.369896
アルインコ,2018,Q1,36.656075
アルインコ,2018,Q2,33.364643
アルインコ,2018,Q3,38.93762
アルインコ,2018,Q4,8.042616
アルインコ,2019,Q1,22.609488
アルインコ,2019,Q2,33.10166
アルインコ,2019,Q3,40.840584
アルインコ,2019,Q4,4.2996593
アルインコ,2020,Q1,29.048183
アルインコ,2020,Q2,29.954285
アルインコ,2020,Q3,28.577034
アルインコ,2020,Q4,24.938229
アルコニックス,2018,Q1,143.25015
アルコニックス,2018,Q2,82.2813
アルコニックス,2018,Q3,118.14494
アルコニックス,2018,Q4,64.321785
アルコニックス,2019,Q1,89.001945
アルコニックス,2019,Q2,82.43338
アルコニックス,2019,Q3,97.97021
アルコニックス,2019,Q4,43.552727
アルコニックス,2020,Q1,65.03261
アルコニックス,2020,Q2,39.42353
アルコニックス,2020,Q3,65.81202
アルコニックス,2020,Q4,56.184452
アルゴグラフィックス,2018,Q1,56.16054
アルゴグラフィックス,2018,Q2,47.274097
アルゴグラフィックス,2018,Q3,45.851994
アルゴグラフィックス,2018,Q4,56.73589
アルゴグラフィックス,2019,Q1,63.70642
アルゴグラフィックス,2019,Q2,48.567078
アルゴグラフィックス,2019,Q3,49.11624
アルゴグラフィックス,2019,Q4,51.11914
アルゴグラフィックス,2020,Q1,49.96808
アルゴグラフィックス,2020,Q2,59.75352
アルゴグラフィックス,2020,Q3,56.56288
アルゴグラフィックス,2020,Q4,55.76833
アルビス,2018,Q1,75.971085
アルビス,2018,Q2,76.5297
アルビス,2018,Q3,68.387
アルビス,2018,Q4,66.74973
アルビス,2019,Q1,60.2219
アルビス,2019,Q2,54.83359
アルビス,2019,Q3,15.904415
アルビス,2019,Q4,66.10224
アルビス,2020,Q1,62.00921
アルビス,2020,Q2,39.57823
アルビス,2020,Q3,54.445484
アルビス,2020,Q4,71.285095
アルファ,2018,Q1,37.475662
アルファ,2018,Q2,32.978996
アルファ,2018,Q3,-5.82849
アルファ,2018,Q4,6.586819
アルファ,2019,Q1,44.688953
アルファ,2019,Q2,29.904947
アルファ,2019,Q3,36.47071
アルファ,2019,Q4,47.14322
アルファ,2020,Q1,-27.64435
アルファ,2020,Q2,-64.29886
アルファ,2020,Q3,43.378258
アルファ,2020,Q4,90.91761
アルファシステムズ,2018,Q1,22.193716
アルファシステムズ,2018,Q2,26.460796
アルファシステムズ,2018,Q3,22.41107
アルファシステムズ,2018,Q4,33.066437
アルファシステムズ,2019,Q1,29.33218
アルファシステムズ,2019,Q2,18.396841
アルファシステムズ,2019,Q3,25.766567
アルファシステムズ,2019,Q4,35.710407
アルファシステムズ,2020,Q1,25.912718
アルファシステムズ,2020,Q2,46.46016
アルファシステムズ,2020,Q3,26.006882
アルファシステムズ,2020,Q4,52.35662
アルフレッサ　ホールディングス,2018,Q1,82.16835
アルフレッサ　ホールディングス,2018,Q2,49.126244
アルフレッサ　ホールディングス,2018,Q3,54.922173
アルフレッサ　ホールディングス,2018,Q4,55.805832
アルフレッサ　ホールディングス,2019,Q1,109.57506
アルフレッサ　ホールディングス,2019,Q2,1.98025
アルフレッサ　ホールディングス,2019,Q3,55.228397
