企業名,会計年度,四半期,y_hat_sarima_g
アマダ,2020,Q1,7.546087861343889
アマダ,2020,Q2,27.25285273335322
アマダ,2020,Q3,15.496610299669806
アマダ,2020,Q4,18.59088244272746
アマノ,2018,Q1,18.521417815745686
アマノ,2018,Q2,40.879304420936734
アマノ,2018,Q3,37.14780501047582
アマノ,2018,Q4,47.36414687418815
アマノ,2019,Q1,16.033780104092415
アマノ,2019,Q2,43.80485194391427
アマノ,2019,Q3,28.915942718233822
アマノ,2019,Q4,54.31143848262289
アマノ,2020,Q1,20.272500574118418
アマノ,2020,Q2,42.24929474260972
アマノ,2020,Q3,27.801969067612042
アマノ,2020,Q4,45.19872099812499
アミューズ,2018,Q1,80.83972762093677
アミューズ,2018,Q2,55.7719658563791
