企業名,会計年度,四半期,y_hat_ul1_i_tuned_simple,best_hyparam
アドヴァングループ,2020,Q1,29.938094374879956,[0.001]
アドヴァングループ,2020,Q2,28.05244277966093,[0.001]
アドヴァングループ,2020,Q3,23.424704515621773,[0.001]
アドヴァングループ,2020,Q4,23.330437116497436,[0.001]
アネスト岩田,2018,Q1,12.822944955331472,[10]
アネスト岩田,2018,Q2,15.767549004276326,[10]
アネスト岩田,2018,Q3,14.279398235537835,[10]
アネスト岩田,2018,Q4,17.727739948099185,[10]
アネスト岩田,2019,Q1,15.153307222565585,[10]
アネスト岩田,2019,Q2,16.5665641141208,[10]
アネスト岩田,2019,Q3,16.29739022857634,[10]
アネスト岩田,2019,Q4,13.890057741054664,[10]
アネスト岩田,2020,Q1,14.252410958234446,[10]
アネスト岩田,2020,Q2,16.827449669371457,[10]
アネスト岩田,2020,Q3,14.511464295902076,[10]
アネスト岩田,2020,Q4,15.679932447398485,[10]
アマダ,2018,Q1,8.927699088132282,[100]
アマダ,2018,Q2,9.521310199243393,[100]
アマダ,2018,Q3,10.393810199243394,[100]
アマダ,2018,Q4,10.97297686591006,[100]
アマダ,2019,Q1,11.750754643687836,[100]
アマダ,2019,Q2,12.15408797702117,[100]
アマダ,2019,Q3,12.779921310354503,[100]
アマダ,2019,Q4,13.14186575479895,[100]
アマダ,2020,Q1,13.383532421465615,[100]
アマダ,2020,Q2,13.888532421465618,[100]
アマダ,2020,Q3,14.182143532576726,[100]
アマダ,2020,Q4,14.416310199243393,[100]
アマノ,2018,Q1,17.668658902441955,[100]
アマノ,2018,Q2,26.7623491894418,[100]
アマノ,2018,Q3,26.219763372174974,[100]
アマノ,2018,Q4,28.84385269528968,[100]
アマノ,2019,Q1,18.08053386419349,[100]
アマノ,2019,Q2,29.280241487404673,[100]
アマノ,2019,Q3,22.658348799970142,[100]
アマノ,2019,Q4,34.866239693289685,[100]
アマノ,2020,Q1,23.163333582847944,[100]
アマノ,2020,Q2,32.401141560808554,[100]
アマノ,2020,Q3,28.402632974223813,[100]
アマノ,2020,Q4,33.019158333694826,[100]
アミューズ,2018,Q1,35.88374349667259,[100]
アミューズ,2018,Q2,44.641674148624745,[100]
アミューズ,2018,Q3,59.486320454042456,[100]
アミューズ,2018,Q4,70.13454544398178,[100]
アミューズ,2019,Q1,64.25196239238343,[100]
アミューズ,2019,Q2,74.39199156708847,[100]
アミューズ,2019,Q3,63.24381354164047,[100]
アミューズ,2019,Q4,62.16259022986607,[100]
アミューズ,2020,Q1,52.4050249012795,[100]
アミューズ,2020,Q2,40.043103268744744,[100]
アミューズ,2020,Q3,78.42389063811135,[100]
アミューズ,2020,Q4,46.476721150694715,[100]
アリアケジャパン,2018,Q1,34.90083333333334,[1000]
アリアケジャパン,2018,Q2,36.414166666666674,[1000]
アリアケジャパン,2018,Q3,38.137777777777785,[1000]
アリアケジャパン,2018,Q4,38.641111111111115,[1000]
アリアケジャパン,2019,Q1,48.330000000000005,[1000]
アリアケジャパン,2019,Q2,50.03,[1000]
アリアケジャパン,2019,Q3,51.24416666666667,[1000]
アリアケジャパン,2019,Q4,52.89805555555556,[1000]
アリアケジャパン,2020,Q1,54.143888888888895,[1000]
アリアケジャパン,2020,Q2,55.10055555555555,[1000]
アリアケジャパン,2020,Q3,56.183888888888895,[1000]
アリアケジャパン,2020,Q4,57.306666666666665,[1000]
アルインコ,2018,Q1,21.43174475798083,[0.001]
