企業名,会計年度,四半期,y_hat_ibes_comb_all
バンダイナムコホールディングス,2019,Q2,78.65316963845352
バンダイナムコホールディングス,2019,Q3,79.34325350389052
バンダイナムコホールディングス,2019,Q4,43.30254740293471
バンダイナムコホールディングス,2020,Q1,75.25510431932074
バンダイナムコホールディングス,2020,Q2,69.77454838771462
バンダイナムコホールディングス,2020,Q3,74.45646092711027
バンダイナムコホールディングス,2020,Q4,28.159044699814327
パナソニック,2018,Q1,23.67473662046147
パナソニック,2018,Q2,10.731992694692128
パナソニック,2018,Q3,34.70568249954818
パナソニック,2018,Q4,6.249239676506929
パナソニック,2019,Q1,27.06892964423645
パナソニック,2019,Q2,16.039302117995504
パナソニック,2019,Q3,4.327833679251418
パナソニック,2019,Q4,7.337234204594589
パナソニック,2020,Q1,13.053838206263563
パナソニック,2020,Q2,-8.824115089002888
パナソニック,2020,Q3,1.0578090125890827
パナソニック,2020,Q4,-3.096647206982112
ヒロセ電機,2018,Q1,111.646962192269
ヒロセ電機,2018,Q2,112.75022777814148
ヒロセ電機,2018,Q3,115.41596856729872
ヒロセ電機,2018,Q4,90.30791212232094
ヒロセ電機,2019,Q1,119.97555762860713
ヒロセ電機,2019,Q2,135.95416861865283
ヒロセ電機,2019,Q3,131.99615639599332
ヒロセ電機,2019,Q4,99.87008689494988
ヒロセ電機,2020,Q1,107.51838567729456
ヒロセ電機,2020,Q2,134.79449990307594
ヒロセ電機,2020,Q3,126.59036372472868
ヒロセ電機,2020,Q4,131.7461445223314
ファナック,2018,Q1,235.64756755256735
ファナック,2018,Q2,207.90557323922891
ファナック,2018,Q3,171.787796765969
ファナック,2018,Q4,213.22959247802896
ファナック,2019,Q1,167.8593745728184
ファナック,2019,Q2,139.9279803193625
ファナック,2019,Q3,138.49724341224996
ファナック,2019,Q4,71.56274441146336
ファナック,2020,Q1,96.12390819282896
ファナック,2020,Q2,79.96541048219353
ファナック,2020,Q3,112.94798967635158
ファナック,2020,Q4,137.20762431456467
ミネベアミツミ,2018,Q1,19.94428950948692
ミネベアミツミ,2018,Q2,21.841071245820405
ミネベアミツミ,2018,Q3,30.419613156959347
ミネベアミツミ,2018,Q4,31.326937262990075
ミネベアミツミ,2019,Q1,20.179793408613772
ミネベアミツミ,2019,Q2,25.791371998683925
ミネベアミツミ,2019,Q3,37.4900129522202
ミネベアミツミ,2019,Q4,29.275079453193
ミネベアミツミ,2020,Q1,16.919377993296724
ミネベアミツミ,2020,Q2,28.933377697252947
ミネベアミツミ,2020,Q3,41.008472374987186
ミネベアミツミ,2020,Q4,29.838017421821267
リコー,2018,Q1,-2.887095764520285
リコー,2018,Q2,38.74707540014997
リコー,2018,Q3,14.99678118394757
リコー,2018,Q4,-14.829266734840042
リコー,2019,Q1,10.822066429228926
リコー,2019,Q2,13.914312645909497
リコー,2019,Q3,17.240678674082073
リコー,2019,Q4,-2.8040217186614766
リコー,2020,Q1,4.363399883551457
リコー,2020,Q2,-25.454867395056628
リコー,2020,Q3,7.257388283449047
リコー,2020,Q4,-5.397079237062795
ローム,2018,Q1,31.637203871158288
ローム,2018,Q2,98.21795378009764
ローム,2018,Q3,108.98008813940827
ローム,2018,Q4,30.85473361381792
ローム,2019,Q1,90.14498475780984
ローム,2019,Q2,85.4413124807091
ローム,2019,Q3,45.69098588628948
ローム,2019,Q4,13.140323387942141
ローム,2020,Q1,79.30371625068867
ローム,2020,Q2,57.937353030452485
ローム,2020,Q3,55.725254489380454
ローム,2020,Q4,77.02865974612118
三井不動産,2018,Q1,46.97233604753506
三井不動産,2018,Q2,32.393757789669685
三井不動産,2018,Q3,41.36147221860002
三井不動産,2018,Q4,52.169703187772136
三井不動産,2019,Q1,38.147767422915976
三井不動産,2019,Q2,38.06228061876149
三井不動産,2019,Q3,41.40663288856879
三井不動産,2019,Q4,60.00721293458562
三井不動産,2020,Q1,40.61073911485698
三井不動産,2020,Q2,30.65831010593504
三井不動産,2020,Q3,52.22537245051294
三井不動産,2020,Q4,54.91921231878479
