企業名,会計年度,四半期,y_hat_ibes_comb_mml
京セラ,2019,Q4,36.8142567647067
京セラ,2020,Q1,52.66111080831053
京セラ,2020,Q2,54.06871158757568
京セラ,2020,Q3,70.8541062038845
京セラ,2020,Q4,99.95520697586538
任天堂,2018,Q1,104.87342281450837
任天堂,2018,Q2,371.4343348053906
任天堂,2018,Q3,751.8498846240526
任天堂,2018,Q4,25.825942642369952
任天堂,2019,Q1,35.820094608573136
任天堂,2019,Q2,366.14883132891674
任天堂,2019,Q3,907.5263919982931
任天堂,2019,Q4,439.99644117802126
任天堂,2020,Q1,461.8474711705557
任天堂,2020,Q2,841.1193937647654
任天堂,2020,Q3,1220.294724565381
任天堂,2020,Q4,725.4396108427369
伊藤忠テクノソリューションズ,2018,Q1,14.650921142998675
伊藤忠テクノソリューションズ,2018,Q2,32.80933207309894
伊藤忠テクノソリューションズ,2018,Q3,28.92376069747186
伊藤忠テクノソリューションズ,2018,Q4,64.97922385876639
伊藤忠テクノソリューションズ,2019,Q1,19.26381906512056
伊藤忠テクノソリューションズ,2019,Q2,28.878661543493976
伊藤忠テクノソリューションズ,2019,Q3,26.10380144767613
伊藤忠テクノソリューションズ,2019,Q4,51.21786004436146
伊藤忠テクノソリューションズ,2020,Q1,16.2119593176371
伊藤忠テクノソリューションズ,2020,Q2,24.312350012905426
伊藤忠テクノソリューションズ,2020,Q3,28.42509864037675
伊藤忠テクノソリューションズ,2020,Q4,54.90683048681327
住友不動産,2018,Q1,88.13332095329001
住友不動産,2018,Q2,64.69093432949501
住友不動産,2018,Q3,61.47120630684922
住友不動産,2018,Q4,35.20853615487666
住友不動産,2019,Q1,76.7425947009609
住友不動産,2019,Q2,61.50706982443584
住友不動産,2019,Q3,49.375098016574945
住友不動産,2019,Q4,72.72193472479857
住友不動産,2020,Q1,108.01398699737786
住友不動産,2020,Q2,62.520965172551264
住友不動産,2020,Q3,51.8399831787286
住友不動産,2020,Q4,48.86580352001303
参天製薬,2018,Q1,22.530245394802915
参天製薬,2018,Q2,18.20591866613748
参天製薬,2018,Q3,18.99725884954565
参天製薬,2018,Q4,18.765787120815105
参天製薬,2019,Q1,17.839015971376053
参天製薬,2019,Q2,14.427816332947694
参天製薬,2019,Q3,21.1614791233751
参天製薬,2019,Q4,11.973791033808709
参天製薬,2020,Q1,14.053636284223808
参天製薬,2020,Q2,16.772864898463315
参天製薬,2020,Q3,20.739323871782194
参天製薬,2020,Q4,17.17337977824921
大同特殊鋼,2018,Q1,116.71043469143434
大同特殊鋼,2018,Q2,79.32062636593669
大同特殊鋼,2018,Q3,79.36519223442636
大同特殊鋼,2018,Q4,127.61262766949376
大同特殊鋼,2019,Q1,110.87166175749701
大同特殊鋼,2019,Q2,150.54979331249626
大同特殊鋼,2019,Q3,123.7151045944084
大同特殊鋼,2019,Q4,106.3928060121212
大同特殊鋼,2020,Q1,80.50658744380806
大同特殊鋼,2020,Q2,-32.44278058596813
大同特殊鋼,2020,Q3,11.094158815565732
大同特殊鋼,2020,Q4,108.63822256148033
