企業名,会計年度,四半期,y_hat_comb_uts
アドソル日進,2020,Q4,18.84894439031539
アドバンテスト,2018,Q1,24.72145704279584
アドバンテスト,2018,Q2,52.480802726186425
アドバンテスト,2018,Q3,50.80985854049061
アドバンテスト,2018,Q4,86.35113768231615
アドバンテスト,2019,Q1,58.005728140257624
アドバンテスト,2019,Q2,67.23412306336368
アドバンテスト,2019,Q3,68.89396198793655
アドバンテスト,2019,Q4,58.03529286104468
アドバンテスト,2020,Q1,68.41875460762562
アドバンテスト,2020,Q2,61.10662497955398
アドバンテスト,2020,Q3,57.38232827962673
アドバンテスト,2020,Q4,73.56159589222518
アドヴァングループ,2018,Q1,12.508743443627804
アドヴァングループ,2018,Q2,26.55106176131651
アドヴァングループ,2018,Q3,26.969708779864327
アドヴァングループ,2018,Q4,7.926355051913245
アドヴァングループ,2019,Q1,29.08176871876401
アドヴァングループ,2019,Q2,21.542080467646066
アドヴァングループ,2019,Q3,28.326766187723866
アドヴァングループ,2019,Q4,30.783271237391098
アドヴァングループ,2020,Q1,22.66495488544473
アドヴァングループ,2020,Q2,30.49779905037871
アドヴァングループ,2020,Q3,27.771079354055452
アドヴァングループ,2020,Q4,19.03341891446133
アマダ,2018,Q1,8.78769054061015
アマダ,2018,Q2,23.635592613973543
アマダ,2018,Q3,23.396954071695088
アマダ,2018,Q4,18.932724088080835
アマダ,2019,Q1,20.03512529028213
アマダ,2019,Q2,25.658439501556114
アマダ,2019,Q3,18.474793217166447
アマダ,2019,Q4,26.1757447953986
アマダ,2020,Q1,8.313978908024522
アマダ,2020,Q2,26.544006463744317
アマダ,2020,Q3,12.451005641701844
アマダ,2020,Q4,14.923126183465794
アマノ,2018,Q1,20.098889905099306
アマノ,2018,Q2,33.29487827917616
アマノ,2018,Q3,35.94706872411961
アマノ,2018,Q4,37.850075487163515
アマノ,2019,Q1,20.545976235562687
アマノ,2019,Q2,37.85611328605346
アマノ,2019,Q3,26.835381998007783
アマノ,2019,Q4,49.94896282776562
アマノ,2020,Q1,23.56775893475135
アマノ,2020,Q2,33.502916571500556
アマノ,2020,Q3,29.617147530689163
アマノ,2020,Q4,41.07485259715984
アミューズ,2018,Q1,43.0857195425891
アミューズ,2018,Q2,39.71083680940735
アミューズ,2018,Q3,70.88307832704893
アミューズ,2018,Q4,50.64708178074494
アミューズ,2019,Q1,91.73305615228836
アミューズ,2019,Q2,95.58764514707613
アミューズ,2019,Q3,73.36889114988952
アミューズ,2019,Q4,51.36210974629525
アミューズ,2020,Q1,42.02269715683145
アミューズ,2020,Q2,16.087292575430496
アミューズ,2020,Q3,64.6984802217539
アミューズ,2020,Q4,-8.694024624161349
アリアケジャパン,2018,Q1,59.49479098638011
