,,,,,,決算期,決算月数,決算種別フラグ,連結基準フラグ,実績・予想フラグ,資料公表日／決算発表日,決算期初日,決算期末日,最新予想フラグ,売上高＜累計＞,営業利益＜累計＞,経常利益＜累計＞,潜在株式調整後１株当たり利益＜累計＞,１株当たり利益＜累計＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜累計＞,当期利益＜累計＞,売上高＜３ヵ月＞,営業利益＜３ヵ月＞,経常利益＜３ヵ月＞,親会社株主に帰属する当期利益［連結］／当期利益［単独］＜３ヵ月＞,１株当たり利益＜３ヵ月＞,当期利益＜３ヵ月＞
,,,,,,FINHISA'ACC,FINHISA'MACC,FINHISA'HACC,FINHISA'SECFLG,FINHISA'RPFLG,FINHISA'PUBLISHDATE,FINHISA'CE001,FINHISA'CE002,FINHISA'CE066,FINHISA'CE003,FINHISA'CE004,FINHISA'CE005,FINHISA'CE009,FINHISA'CE007,FINHISA'CE006,FINHISA'CE008,FINHISA'CE011,FINHISA'CE012,FINHISA'CE013,FINHISA'CE014,FINHISA'CE015,FINHISA'CE016
,,,,,,年月,ヶ月,2桁コード,1桁コード,1桁コード,年月日,年月日,年月日,1桁コード,百万円,百万円,百万円,円,円,百万円,百万円,百万円,百万円,百万円,百万円,円,百万円
トヨタ自動車,T7203,月次(M),2010/06,#2002,#2002,2010/06,3,21,2,2,2011/08/02,2010/04/01,2010/06/30,-,4871825,211663,263004,60.74,60.74,190466,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/09,#0001,#0001,2010/09,6,22,2,0,2010/05/11,2010/04/01,2010/09/30,0,9400000,100000,130000,-,47.83,150000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/09,#0002,#0002,2010/09,6,22,2,0,2010/08/04,2010/04/01,2010/09/30,1,9800000,270000,330000,-,79.72,250000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/09,#2001,#2001,2010/09,6,22,2,2,2010/11/05,2010/04/01,2010/09/30,-,9678492,323120,392073,92.21,92.21,289156,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/09,#2002,#2002,2010/09,6,22,2,2,2011/11/08,2010/04/01,2010/09/30,-,9678492,323120,392073,92.21,92.21,289156,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/12,#2001,#2001,2010/12,9,23,2,2,2011/02/08,2010/04/01,2010/12/31,-,14351605,422190,521741,122.06,122.06,382785,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2010/12,#2002,#2002,2010/12,9,23,2,2,2012/02/07,2010/04/01,2010/12/31,-,14351605,422190,521741,122.06,122.06,382785,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#0001,#0001,2011/03,12,10,2,0,2010/05/11,2010/04/01,2011/03/31,0,19200000,280000,330000,-,98.85,310000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#0002,#0002,2011/03,12,10,2,0,2010/08/04,2010/04/01,2011/03/31,0,19500000,330000,380000,-,108.42,340000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#0003,#0003,2011/03,12,10,2,0,2010/11/05,2010/04/01,2011/03/31,0,19000000,380000,410000,-,111.61,350000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#0004,#0004,2011/03,12,10,2,0,2011/02/08,2010/04/01,2011/03/31,1,19200000,550000,660000,-,156.26,490000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#2001,#2001,2011/03,12,10,2,2,2011/05/11,2010/04/01,2011/03/31,-,18993688,468279,563290,130.16,130.17,408183,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/03,#2002,#2002,2011/03,12,10,2,2,2012/05/09,2010/04/01,2011/03/31,-,18993688,468279,563290,130.16,130.17,408183,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/06,#2001,#2001,2011/06,3,21,2,2,2011/08/02,2011/04/01,2011/06/30,-,3441050,-107963,-80531,0.37,0.37,1160,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/06,#2002,#2002,2011/06,3,21,2,2,2012/08/03,2011/04/01,2011/06/30,-,3441050,-107963,-80531,0.37,0.37,1160,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/09,#0001,#0001,2011/09,6,22,2,0,2011/06/10,2011/04/01,2011/09/30,0,7500000,-120000,-100000,-,-,10000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/09,#0002,#0002,2011/09,6,22,2,0,2011/08/02,2011/04/01,2011/09/30,1,8100000,-40000,0,-,22.32,70000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/09,#2001,#2001,2011/09,6,22,2,2,2011/11/08,2011/04/01,2011/09/30,-,8015922,-32573,-1403,26.02,26.02,81581,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/09,#2002,#2002,2011/09,6,22,2,2,2012/11/05,2011/04/01,2011/09/30,-,8015922,-32573,-1403,26.02,26.02,81581,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/12,#2001,#2001,2011/12,9,23,2,2,2012/02/07,2011/04/01,2011/12/31,-,12881127,117111,197199,51.83,51.83,162525,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2011/12,#2002,#2002,2011/12,9,23,2,2,2013/02/05,2011/04/01,2011/12/31,-,12881127,117111,197199,51.83,51.83,162525,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/03,#0001,#0001,2012/03,12,10,2,0,2011/06/10,2011/04/01,2012/03/31,0,18600000,300000,320000,-,-,280000,-,-,-,-,-,-,-
トヨタ自動車,T7203,月次(M),2012/03,#0002,#0002,2012/03,12,10,2,0,2011/08/02,2011/04/01,2012/03/31,0,19000000,450000,500000,-,124.37,390000,-,-,-,-,-,-,-
