企業名,登記上本店所在地‐住所,登記上本店所在地‐地域コード,本社事務所所在地‐住所,本社事務所所在地‐地域コード,実質上設立年月日,形式上設立年月日,所属団体１,所属団体２,所属団体３,所属商工会議所
日進工具,東京都品川区南大井４－５－９,13109,東京都品川区大井１－２８－１　住友不動産大井町駅前ビル,13109,1979/12/06,1979/12/06,日本機械工具工業会,日本金型工業会,型技術協会,東京商工会議所
日野自動車,東京都日野市日野台３－１－１,13212,東京都日野市日野台３－１－１,13212,1942/05/01,1942/05/01,日本自動車工業会,自動車技術会,-,東京商工会議所
日鉄ソリューションズ,東京都港区虎ノ門１－１７－１,13103,東京都港区虎ノ門１－１７－１　虎ノ門ヒルズビジネスタワー,13103,1980/10/01,1980/10/01,情報サービス産業協会,日本情報システムユーザー協会,ＩＴコーディネーター協会,東京商工会議所
日鉄物産,東京都港区赤坂８－５－２７,13103,東京都港区赤坂８－５－２７　日鉄物産ビル,13103,1977/08/02,1977/08/02,日本貿易会,日本鉄鋼連盟,-,東京商工会議所
日鉄鉱業,東京都千代田区丸の内２－３－２　郵船ビル,13101,東京都千代田区丸の内２－３－２　郵船ビル,13101,1939/05/20,1939/05/20,石灰石鉱業協会,日本鉱業協会,日本砕石協会,東京商工会議所
日阪製作所,大阪市北区曽根崎２－１２－７,27127,大阪市北区曽根崎２－１２－７　清和梅田ビル,27127,1942/05/05,1942/05/05,関西繊維機器工業会,日本食品機械工業会,日本船舶用工業会,大阪商工会議所
早稲田アカデミー,東京都豊島区南池袋１－１６－１５,13116,東京都豊島区南池袋１－１６－１５　ダイヤゲート池袋,13116,1979/07/17,1974/11/15,全国学習塾協会,-,-,-
旭ダイヤモンド工業,東京都千代田区紀尾井町４－１　ニューオータニガーデンコート,13101,東京都千代田区紀尾井町４－１　ニューオータニガーデンコート,13101,1937/10/09,1937/10/09,ダイヤモンド工業協会,-,-,東京商工会議所
旭化成,東京都千代田区有楽町１－１－２　日比谷三井タワー,13101,東京都千代田区有楽町１－１－２　日比谷三井タワー,13101,1931/05/21,1931/05/21,日本化学繊維協会,石油化学工業協会,日本化学工業協会,東京商工会議所
旭有機材,宮崎県延岡市中の瀬町２－５９５５,45203,東京都台東区上野３－２４－６　上野フロンティアタワー,13106,1945/03/12,1945/03/12,日本水道協会,合成樹脂工業協会,塩化ビニル管・継手協会,東京商工会議所
明和地所,東京都渋谷区神泉町９－６　明和地所渋谷神泉ビル,13113,東京都渋谷区神泉町９－６　明和地所渋谷神泉ビル,13113,1986/04/24,1942/12/21,不動産協会,-,-,-
明和産業,東京都千代田区丸の内３－３－１　新東京ビル,13101,東京都千代田区丸の内３－３－１　新東京ビル,13101,1947/07/25,1947/07/25,日本貿易会,-,-,東京商工会議所
明星工業,大阪市西区京町堀１－８－５　明星ビル,27106,大阪市西区京町堀１－８－５　明星ビル,27106,1947/07/02,1947/07/02,日本保温保冷工業協会,東京保温保冷工業協会,近畿保温保冷工業協会,大阪商工会議所
明治海運,神戸市中央区明石町３２,28110,東京都目黒区上目黒１－１８－１１,13110,1911/05/10,1911/05/10,日本船主協会,外航オーナーズ協会,-,神戸商工会議所
明治電機工業,名古屋市中村区亀島２－１３－８,23105,名古屋市中村区亀島２－１３－８,23105,1958/06/26,1958/06/26,日本電気制御機器工業会,-,-,名古屋商工会議所
明豊ファシリティワークス,東京都千代田区平河町２－７－９,13101,東京都千代田区平河町２－７－９　ＪＡ共済ビル,13101,1980/09/12,1980/09/12,ＪＦＭＡ,ＣＭＡＪ,ニューオフィス推進協議会,東京商工会議所
明電舎,東京都品川区大崎２－１－１,13109,東京都品川区大崎２－１－１　ＴｈｉｎｋＰａｒｋ　Ｔｏｗｅｒ,13109,1917/06/01,1917/06/01,日本電機工業会,日本機械工業連合会,-,東京商工会議所
昭和産業,東京都千代田区内神田２－２－１,13101,東京都千代田区内神田２－２－１,13101,1936/02/18,1936/02/18,日本植物油協会,製粉協会,日本飼料工業会,東京商工会議所
昭和電線ホールディングス,川崎市川崎区日進町１－１４,14131,川崎市川崎区日進町１－１４　キューブ川崎,14131,1936/05/26,1936/05/26,日本電線工業会,-,-,川崎商工会議所
昭文社ホールディングス,東京都千代田区麹町３－１,13101,東京都千代田区麹町３－１,13101,1960/05/31,1964/06/11,日本書籍出版協会,日本地図調製業協会,日本測量調査技術協会,東京商工会議所
曙ブレーキ工業,東京都中央区日本橋小網町１９－５,13102,埼玉県羽生市東５－４－７１,11216,1936/01/25,1936/01/25,日本自動車部品工業会,日本鉄道車輌工業会,-,東京商工会議所
月島機械,東京都中央区晴海３－５－１,13102,東京都中央区晴海３－５－１,13102,1917/05/31,1917/05/31,日本機械工業連合会,日本産業機械工業会,エンジニアリング協会,東京商工会議所
有機合成薬品工業,東京都中央区日本橋人形町３－１０－４,13102,東京都中央区日本橋人形町３－１０－４,13102,1947/11/04,1947/11/04,日本化学工業協会,日本医薬品原薬工業会,-,東京商工会議所
有沢製作所,新潟県上越市南本町１－５－５,15222,新潟県上越市南本町１－５－５,15222,1949/07/01,1949/07/01,新潟県電子機械工業会,-,-,上越商工会議所
朝日工業社,東京都港区浜松町１－２５－７,13103,東京都港区浜松町１－２５－７,13103,1940/08/08,1940/08/08,日本空調衛生工事業協会,東京空調衛生工業会,-,東京商工会議所
朝日放送グループホールディング,大阪市福島区福島１－１－３０,27103,大阪市福島区福島１－１－３０,27103,1951/03/15,1951/03/15,日本民間放送連盟,-,-,大阪商工会議所
木曽路,名古屋市昭和区白金３－１８－１３,23107,名古屋市昭和区白金３－１８－１３,23107,1952/09/30,1950/05/20,日本フードサービス協会,日本リテイリングセンター,-,名古屋商工会議所
木村化工機,兵庫県尼崎市杭瀬寺島２－１－２,28202,兵庫県尼崎市杭瀬寺島２－１－２,28202,1958/11/13,1950/06/09,日本産業機械工業会,原子力安全専業協会,-,尼崎商工会議所
未来工業,岐阜県安八郡輪之内町楡俣１６９５－１,21382,岐阜県安八郡輪之内町楡俣１６９５－１,21382,1965/08/17,1965/08/17,-,-,-,-
本多通信工業,東京都品川区北品川５－９－１１,13109,東京都品川区北品川５－９－１１　大崎ＭＴビル,13109,1947/06/14,1947/06/14,情報通信ネットワーク産業協会,電子情報技術産業協会,-,東京商工会議所
本田技研工業,東京都港区南青山２－１－１,13103,東京都港区南青山２－１－１,13103,1948/09/24,1948/09/24,日本自動車工業会,-,-,東京商工会議所
杉本商事,大阪市西区立売堀５－７－２７,27106,大阪市西区立売堀５－７－２７,27106,1938/01/10,1938/01/10,大阪機械卸業団地協同組合,大阪機械器具卸商協同組合,-,大阪商工会議所
村田製作所,京都府長岡京市東神足１－１０－１,26209,京都府長岡京市東神足１－１０－１,26209,1950/12/23,1950/12/23,電子情報技術産業協会,ＫＥＣ関西電子工業振興センター,日本セラミックス協会,京都商工会議所
東ソー,山口県周南市開成町４５６０,35215,東京都港区芝３－８－２　芝公園ファーストビル,13103,1935/02/11,1935/02/11,日本化学工業協会,石油化学工業協会,塩ビ工業・環境協会,東京商工会議所
東テク,東京都中央区日本橋本町３－１１－１１,13102,東京都中央区日本橋本町３－１１－１１,13102,1955/07/06,1955/07/06,日本計装工業会,日本空調衛生工事業協会,-,東京商工会議所
東プレ,東京都中央区日本橋３－１２－２　朝日ビル,13102,東京都中央区日本橋３－１２－２　朝日ビル,13102,1935/04/30,1935/04/30,日本自動車車体工業会,-,-,東京商工会議所
東リ,兵庫県伊丹市東有岡５－１２５,28207,兵庫県伊丹市東有岡５－１２５,28207,1919/12/01,1919/12/01,日本インテリアファブリクス協会,インテリアフロア工業会,インテリア産業協会,伊丹商工会議所
東レ,東京都中央区日本橋室町２－１－１　日本橋三井タワー,13102,東京都中央区日本橋室町２－１－１　日本橋三井タワー,13102,1926/01/12,1926/01/12,日本化学繊維協会,-,-,東京商工会議所
東亜ディーケーケー,東京都新宿区高田馬場１－２９－１０,13104,東京都新宿区高田馬場１－２９－１０,13104,1944/09/19,1944/09/19,日本電気計測器工業会,日本分析機器工業会,日本環境技術協会,東京商工会議所
東亜建設工業,東京都新宿区西新宿３－７－１　新宿パークタワー,13104,東京都新宿区西新宿３－７－１　新宿パークタワー,13104,1920/01/23,1920/01/23,日本建設業連合会,日本埋立浚渫協会,土木学会,東京商工会議所
東亜道路工業,東京都港区六本木７－３－７,13103,東京都港区六本木７－３－７,13103,1930/11/28,1930/11/28,日本道路建設業協会,日本アスファルト乳剤協会,日本アスファルト合材協会,東京商工会議所
東京エネシス,東京都中央区日本橋茅場町１－３－１,13102,東京都中央区日本橋茅場町１－３－１,13102,1947/08/14,1947/08/14,日本電設工業協会,日本電気協会,-,東京商工会議所
東京エレクトロン,東京都港区赤坂５－３－１,13103,東京都港区赤坂５－３－１　赤坂Ｂｉｚタワー,13103,1963/11/11,1951/04/06,日本半導体製造装置協会,ＳＥＭＩ,-,東京商工会議所
東京エレクトロン　デバイス,横浜市神奈川区金港町１－４,14102,横浜市神奈川区金港町１－４　横浜イーストスクエア,14102,1986/03/03,1986/03/03,日本半導体商社協会,-,-,-
東京ガス,東京都港区海岸１－５－２０,13103,東京都港区海岸１－５－２０,13103,1885/10/01,1894/01/25,日本ガス協会,-,-,東京商工会議所
東京テアトル,東京都新宿区新宿１－１－８,13104,東京都新宿区新宿１－１－８　御苑テアトルビル,13104,1946/06/28,1946/06/28,映画産業団体連合会,-,-,東京商工会議所
東京機械製作所,東京都港区三田３－１１－３６,13103,東京都港区三田３－１１－３６　三田日東ダイビル,13103,1916/02/15,1916/02/15,-,-,-,東京商工会議所
東京特殊電線,東京都港区西新橋３－８－３,13103,東京都港区西新橋３－８－３　ランディック新橋ビル,13103,1940/11/22,1940/11/22,日本電線工業会,電子情報技術産業協会,電線総合技術センター,-
東京精密,東京都八王子市石川町２９６８－２,13201,東京都八王子市石川町２９６８－２,13201,1949/03/28,1949/03/28,日本半導体製造装置協会,日本精密測定機器工業会,ＳＥＭＩ,-
東京製鉄,東京都千代田区霞が関３－７－１,13101,東京都千代田区霞が関３－７－１　霞が関東急ビル,13101,1934/11/23,1934/11/23,-,-,-,東京商工会議所
東京計器,東京都大田区南蒲田２－１６－４６,13111,東京都大田区南蒲田２－１６－４６,13111,1948/12/21,1948/12/21,日本舶用工業会,日本フルードパワー工業会,日本航空宇宙工業会,東京商工会議所
東京鉄鋼,栃木県小山市横倉新田５２０,09208,東京都千代田区富士見２－７－２　ステージビルディング,13101,1939/06/23,1939/06/23,普通鋼電炉工業会,-,-,東京商工会議所
東北電力,仙台市青葉区本町１－７－１,04101,仙台市青葉区本町１－７－１,04101,1951/05/01,1951/05/01,電気事業連合会,-,-,仙台商工会議所
東和薬品,大阪府門真市新橋町２－１１,27223,大阪府門真市新橋町２－１１,27223,1957/04/19,1957/04/19,日本製薬団体連合会,関西医薬品協会,日本ジェネリック製薬協会,守口門真商工会議所
東急,東京都渋谷区南平台町５－６,13113,東京都渋谷区南平台町５－６,13113,1922/09/02,1922/09/02,不動産協会,-,-,東京商工会議所
東急建設,東京都渋谷区渋谷１－１６－１４,13113,東京都渋谷区渋谷１－１６－１４,13113,2003/04/10,2003/04/10,日本建設業団体連合会,東京建設業協会,-,東京商工会議所
東日本旅客鉄道,東京都渋谷区代々木２－２－２,13113,東京都渋谷区代々木２－２－２,13113,1987/04/01,1987/04/01,-,-,-,東京商工会議所
東映,東京都中央区銀座３－２－１７,13102,東京都中央区銀座３－２－１７,13102,1949/10/01,1949/10/01,映画産業団体連合会,日本映画製作者連盟,日本映像国際振興協会,東京商工会議所
東武鉄道,東京都墨田区押上１－１－２,13107,東京都墨田区押上２－１８－１２,13107,1897/11/01,1897/11/01,日本民営鉄道協会,関東鉄道協会,-,東京商工会議所
東洋エンジニアリング,東京都千代田区丸の内１－５－１,13101,千葉県習志野市茜浜２－８－１,12216,1961/05/01,1944/11/01,エンジニアリング協会,日本機械輸出組合,-,習志野商工会議所
東洋埠頭,東京都中央区晴海１－８－８,13102,東京都中央区晴海１－８－８,13102,1940/01/21,1940/01/21,日本倉庫協会,日本港運協会,東京都港湾振興協会,東京商工会議所
東洋建設,大阪市中央区高麗橋４－１－１,27128,東京都千代田区神田神保町１－１０５　神保町三井ビルディング,13101,1929/07/06,1929/07/06,日本建設業団体連合会,地盤工学会,日本埋立浚渫協会,東京商工会議所
東洋機械金属,兵庫県明石市二見町福里字西之山５２３－１,28203,兵庫県明石市二見町福里字西之山５２３－１,28203,1925/05/26,1925/05/26,日本産業機械工業会,日本プラスチック機械工業会,日本ダイカストマシン工業会,明石商工会議所
東洋水産,東京都港区港南２－１３－４０,13103,東京都港区港南２－１３－４０,13103,1953/03/25,1948/04/05,-,-,-,-
東洋精糖,東京都中央区日本橋小網町１８－２０,13102,東京都中央区日本橋小網町１８－２０,13102,1949/11/29,1949/11/29,精糖工業会,日本食品添加物協会,化粧品原料協会,東京商工会議所
東洋紡,大阪市北区堂島浜２－２－８,27127,大阪市北区堂島浜２－２－８,27127,1914/06/26,1914/06/26,日本化学繊維協会,日本紡績協会,日本羊毛紡績会,大阪商工会議所
東洋製缶グループホールディング,東京都品川区東五反田２－１８－１,13109,東京都品川区東五反田２－１８－１　大崎フォレストビルディング,13109,1941/07/29,1941/07/29,-,-,-,東京商工会議所
東海旅客鉄道,名古屋市中村区名駅１－１－４,23105,名古屋市中村区名駅１－１－４,23105,1987/04/01,1987/04/01,-,-,-,名古屋商工会議所
東海染工,愛知県清須市西枇杷島町子新田１－２,23233,名古屋市中村区名駅３－２８－１２　大名古屋ビルヂング,23105,1941/03/01,1950/05/08,日本染色協会,東レ合繊クラスター,-,名古屋商工会議所
東海理化電機製作所,愛知県丹羽郡大口町豊田３－２６０,23361,愛知県丹羽郡大口町豊田３－２６０,23361,1948/08/30,1948/08/30,日本自動車部品工業会,日本自動車会議所,自動車技術会,-
東海運,東京都中央区晴海１－８－１２,13102,東京都中央区晴海１－８－１２　晴海アイランドトリトンスクエアオフィスタワーＺ,13102,1917/12/02,1917/12/02,日本港運協会,全日本トラック協会,日本船主協会,東京商工会議所
東祥,愛知県安城市三河安城町１－１６－５,23212,愛知県安城市三河安城町１－１６－５,23212,1979/03/01,1979/03/01,愛知県宅地建物取引業協会,-,-,安城商工会議所
東芝,東京都港区芝浦１－１－１　東芝ビルディング,13103,東京都港区芝浦１－１－１　東芝ビルディング,13103,1904/06/25,1904/06/25,日本電機工業会,電子情報技術産業協会,情報通信ネットワーク産業協会,東京商工会議所
東芝テック,東京都品川区大崎１－１１－１,13109,東京都品川区大崎１－１１－１　ゲートシティ大崎ウエストタワー,13109,1950/02/21,1950/02/21,ＪＢＭＩＡ,-,-,東京商工会議所
東邦アセチレン,宮城県多賀城市栄２－３－３２,04209,宮城県多賀城市栄２－３－３２,04209,1955/03/07,1948/09/08,日本産業・医療ガス協会,高圧ガス保安協会,全国ＬＰガス協会,東京商工会議所
東邦システムサイエンス,東京都文京区小石川１－１２－１４,13105,東京都文京区小石川１－１２－１４　日本生命小石川ビル,13105,1971/06/01,1971/06/01,情報サービス産業協会,富士通系情報処理サービス業Ｇ,-,東京商工会議所
東邦チタニウム,横浜市西区南幸１－１－１,14103,横浜市西区南幸１－１－１　ＪＲ横浜タワー,14103,1953/08/20,1948/09/06,日本チタン協会,-,-,茅ヶ崎商工会議所
東邦ホールディングス,東京都世田谷区代沢５－２－１,13112,東京都世田谷区代沢５－２－１,13112,1948/09/17,1948/09/17,日本医薬品卸業連合会,東京医薬品卸業協会,-,東京商工会議所
東邦亜鉛,東京都千代田区丸の内１－８－２,13101,東京都千代田区丸の内１－８－２　鉄鋼ビルディング,13101,1937/02/27,1937/02/27,日本鉱業協会,日本メタル経済研究所,-,東京商工会議所
東邦瓦斯,名古屋市熱田区桜田町１９－１８,23109,名古屋市熱田区桜田町１９－１８,23109,1922/06/26,1922/06/26,日本瓦斯協会,天然ガス導入促進センター,日本エネルギー経済研究所,名古屋商工会議所
東都水産,東京都江東区豊洲６－６－２　東京都中央卸売市場内,13108,東京都江東区豊洲６－６－２　東京都中央卸売市場内,13108,1948/03/09,1948/03/09,全国中央市場水産卸協会,東京都水産物卸売業者協会,大日本水産会,東京商工会議所
東鉄工業,東京都新宿区信濃町３４,13104,東京都新宿区信濃町３４　ＪＲ信濃町ビル,13104,1943/07/07,1943/07/07,日本建設業連合会,日本建設業経営協会,-,東京商工会議所
東陽倉庫,名古屋市中村区名駅南２－６－１７,23105,名古屋市中村区名駅南２－６－１７,23105,1926/03/13,1926/03/13,日本倉庫協会,日本港運協会,東海倉庫協会,名古屋商工会議所
松井建設,東京都中央区新川１－１７－２２,13102,東京都中央区新川１－１７－２２,13102,1939/01/20,1939/01/20,日本建設業連合会,-,-,東京商工会議所
松屋フーズホールディングス,東京都武蔵野市中町１－１４－５,13203,東京都武蔵野市中町１－１４－５,13203,1980/01/16,1980/01/16,日本フードサービス協会,-,-,-
松田産業,東京都新宿区西新宿１－２６－２,13104,東京都新宿区西新宿１－２６－２,13104,1978/09/01,1951/06/18,日本金地金流通協会,東京都産業資源循環協会,日本かまぼこ協会,東京商工会議所
松風,京都市東山区福稲上高松町１１,26105,京都市東山区福稲上高松町１１,26105,1922/05/15,1922/05/15,日本歯科材料工業協同組合,-,-,京都商工会議所
林兼産業,山口県下関市大和町２－４－８,35201,山口県下関市大和町２－４－８,35201,1941/01/15,1941/01/15,日本食肉加工協会,日本缶詰協会,日本飼料工業会,下関商工会議所
栄研化学,東京都台東区台東４－１９－９,13106,東京都台東区台東４－１９－９,13106,1939/02/20,1939/02/20,日本製薬団体連合会,東京医薬品工業協会,日本臨床検査薬協会,東京商工会議所
栗本鉄工所,大阪市西区北堀江１－１２－１９,27106,大阪市西区北堀江１－１２－１９,27106,1934/05/10,1934/05/10,日本水道工業団体連合会,日本機械工業連合会,-,大阪商工会議所
栗田工業,東京都中野区中野４－１０－１,13114,東京都中野区中野４－１０－１　中野セントラルパークイースト,13114,1949/07/13,1949/07/13,日本産業機械工業会,-,-,東京商工会議所
森永乳業,東京都港区芝５－３３－１,13103,東京都港区芝５－３３－１,13103,1949/04/13,1949/04/13,日本乳業協会,日本アイスクリーム協会,日本酪農乳業協会,東京商工会議所
森永製菓,東京都港区芝５－３３－１,13103,東京都港区芝５－３３－１,13103,1910/02/23,1910/02/23,全日本菓子協会,全国ビスケット協会,日本チョコレート・ココア協会,東京商工会議所
植木組,新潟県柏崎市駅前１－５－４５,15205,新潟県柏崎市駅前１－５－４５,15205,1948/07/26,1948/07/26,新潟県建設業協会,日本建設業連合会,日本ダム協会,柏崎商工会議所
椿本チエイン,大阪市北区中之島３－３－３　中之島三井ビルディング,27127,大阪市北区中之島３－３－３　中之島三井ビルディング,27127,1941/01/31,1941/01/31,日本機械工業連合会,日本産業機械工業会,日本チェーン工業会,大阪商工会議所
椿本興業,大阪市北区梅田３－３－２０　明治安田生命大阪梅田ビル,27127,大阪市北区梅田３－３－２０　明治安田生命大阪梅田ビル,27127,1938/01/10,1938/01/10,-,-,-,大阪商工会議所
極東貿易,東京都千代田区大手町２－２－１　新大手町ビル,13101,東京都千代田区大手町２－２－１　新大手町ビル,13101,1947/11/27,1947/11/27,日本貿易振興会,日本貿易会,-,東京商工会議所
極東開発工業,兵庫県西宮市甲子園口６－１－４５,28204,兵庫県西宮市甲子園口６－１－４５,28204,1955/06/01,1917/03/17,日本自動車車体工業会,日本建設機械化協会,日本産業機械工業会,西宮商工会議所
極洋,東京都港区赤坂３－３－５　住友生命山王ビル,13103,東京都港区赤坂３－３－５　住友生命山王ビル,13103,1937/09/03,1937/09/03,大日本水産会,日本冷凍食品協会,-,東京商工会議所
横河ブリッジホールディングス,東京都港区芝浦４－４－４４,13103,東京都港区芝浦４－４－４４,13103,1918/05/02,1918/05/02,日本鋼構造協会,-,-,東京商工会議所
横河電機,東京都武蔵野市中町２－９－３２,13203,東京都武蔵野市中町２－９－３２,13203,1920/12/01,1920/11/26,日本電気計測器工業会,電子情報技術産業協会,-,武蔵野商工会議所
橋本総業ホールディングス,東京都中央区日本橋小伝馬町９－９,13102,東京都中央区日本橋小伝馬町９－９,13102,1938/03/15,1938/03/15,全国管工機材商業連合会,東京管工機材商業協同組合,-,東京商工会議所
武田薬品工業,大阪市中央区道修町４－１－１,27128,大阪市中央区道修町４－１－１,27128,1925/01/29,1925/01/29,日本製薬団体連合会,日本製薬工業協会,大阪医薬品協会,大阪商工会議所
武蔵精密工業,愛知県豊橋市植田町字大膳３９－５,23201,愛知県豊橋市植田町字大膳３９－５,23201,1944/01/22,1944/01/22,愛知鉄工連合会,-,-,豊橋商工会議所
永大産業,大阪市住之江区平林南２－１０－６０,27125,大阪市住之江区平林南２－１０－６０,27125,1946/07/29,1946/07/29,日本複合・防音床材工業会,キッチン・バス工業会,日本繊維板工業会,-
永谷園ホールディングス,東京都港区西新橋２－３６－１　永谷園ビル,13103,東京都港区西新橋２－３６－１　永谷園ビル,13103,1953/04/30,1947/11/04,全国ふりかけ協会,日本即席スープ協会,-,東京商工会議所
池上通信機,東京都大田区池上５－６－１６,13111,東京都大田区池上５－６－１６,13111,1948/02/21,1948/02/21,電子情報技術産業協会,-,-,東京商工会議所
沢藤電機,群馬県太田市新田早川町３,10205,群馬県太田市新田早川町３,10205,1919/05/10,1919/05/10,日本自動車部品工業会,日本電機工業会,陸用内燃機関協会,-
河合楽器製作所,浜松市中区寺島町２００,22131,浜松市中区寺島町２００,22131,1951/05/15,1951/05/15,全国楽器製造協会,-,-,浜松商工会議所
河西工業,神奈川県高座郡寒川町宮山３３１６,14321,神奈川県高座郡寒川町宮山３３１６,14321,1946/10/26,1948/06/29,日本自動車部品工業会,-,-,-
油研工業,神奈川県綾瀬市上土棚中４－４－３４,14218,神奈川県綾瀬市上土棚中４－４－３４,14218,1956/10/10,1947/04/05,日本フルードパワー工業会,-,-,藤沢商工会議所
浅沼組,大阪市浪速区湊町１－２－３,27111,大阪市浪速区湊町１－２－３　マルイト難波ビル,27111,1937/06/15,1937/06/15,日本建設業団体連合会,建築業協会,日本土木工業協会,大阪商工会議所
淀川製鋼所,大阪市中央区南本町４－１－１,27128,大阪市中央区南本町４－１－１,27128,1935/01/30,1935/01/30,日本鉄鋼連盟,日本建築材料協会,日本屋外収納ユニット工業会,大阪商工会議所
清水建設,東京都中央区京橋２－１６－１,13102,東京都中央区京橋２－１６－１,13102,1937/08/24,1937/08/24,日本建設業連合会,東京建設業協会,-,東京商工会議所
滝沢鉄工所,岡山市北区撫川９８３,33101,岡山市北区撫川９８３,33101,1944/10/30,1944/10/30,日本工作機械工業会,-,-,岡山商工会議所
焼津水産化学工業,静岡県焼津市小川新町５－８－１３,22212,静岡市駿河区南町１１－１　静銀・中京銀静岡駅南ビル,22102,1959/03/18,1959/03/18,-,-,-,-
熊谷組,福井市大手３－２－１,18201,東京都新宿区津久戸町２－１,13104,1938/01/06,1938/01/06,日本建設業連合会,海外建設協会,土地改良建設協会,東京商工会議所
燦ホールディングス,大阪市中央区北浜２－６－１１,27128,大阪市北区天神橋４－６－３９,27127,1944/10/02,1944/10/02,全日本葬祭業協同組合連合会,全国霊柩自動車協会,近畿霊柩自動車協会,大阪商工会議所
片倉コープアグリ,東京都千代田区九段北１－８－１０,13101,東京都千代田区九段北１－８－１０　住友不動産九段ビル,13101,1920/03/14,1920/03/14,日本肥料アンモニア協会,全国複合肥料工業会,全国肥料商連合会,東京商工会議所
牧野フライス製作所,東京都目黒区中根２－３－１９,13110,東京都目黒区中根２－３－１９,13110,1951/05/01,1951/05/01,日本工作機械工業会,日本機械工業連合会,-,東京商工会議所
特種東海製紙,静岡県島田市向島町４３７９,22209,東京都中央区八重洲２－４－１,13102,2007/04/02,2007/04/02,日本製紙連合会,-,-,東京商工会議所
王子ホールディングス,東京都中央区銀座４－７－５,13102,東京都中央区銀座４－７－５,13102,1949/08/01,1949/08/01,-,-,-,東京商工会議所
王将フードサービス,京都市山科区西野山射庭ノ上町２９４－１,26110,京都市山科区西野山射庭ノ上町２３７,26110,1974/07/03,1974/07/03,日本フードサービス協会,大阪外食産業協会,日本経済団体連合会,京都商工会議所
理想科学工業,東京都港区芝５－３４－７　田町センタービル,13103,東京都港区芝５－３４－７　田町センタービル,13103,1955/01/25,1955/01/25,ビジネス機械情報システム産業協,-,-,東京商工会議所
理研ビタミン,東京都新宿区四谷１－６－１,13104,東京都新宿区四谷１－６－１,13104,1949/08/27,1949/08/27,日本即席スープ協会,日本界面活性剤工業会,日本食品添加物協会,東京商工会議所
理研計器,東京都板橋区小豆沢２－７－６,13119,東京都板橋区小豆沢２－７－６,13119,1934/07/30,1934/07/30,日本電気計測器工業会,日本分析機器工業会,-,東京商工会議所
生化学工業,東京都千代田区丸の内１－６－１　丸の内センタービルディング,13101,東京都千代田区丸の内１－６－１　丸の内センタービルディング,13101,1947/06/02,1947/06/02,日本製薬工業協会,日本製薬団体連合会,東京医薬品工業協会,東京商工会議所
田中商事,東京都品川区南大井３－２－２,13109,東京都品川区南大井３－２－２,13109,1962/12/07,1962/12/07,-,-,-,-
田谷,東京都渋谷区千駄ヶ谷５－２３－１３,13113,東京都渋谷区千駄ヶ谷５－２３－１３　南新宿ＪＥＢＬ,13113,1975/09/30,1975/09/30,-,-,-,-
白銅,東京都千代田区丸の内２－５－２,13101,東京都千代田区丸の内２－５－２,13101,1949/11/01,1949/10/07,東京都伸銅品商業組合,東京都軽金属商協会,東京ステンレス流通協会,-
相鉄ホールディングス,横浜市西区北幸１－３－２３,14103,横浜市西区北幸２－９－１４,14103,1918/01/04,1918/01/04,-,-,-,横浜商工会議所
矢作建設工業,名古屋市東区葵３－１９－７　葵センタービル,23102,名古屋市東区葵３－１９－７　葵センタービル,23102,1949/05/14,1949/05/14,日本建設業連合会,愛知県建設業協会,日本鉄道施設協会,名古屋商工会議所
石井鉄工所,東京都中央区月島３－２６－１１,13102,東京都中央区月島３－２６－１１,13102,1919/11/20,1919/11/20,日本機械工業連合会,日本産業機械工業会,-,東京商工会議所
石原ケミカル,神戸市兵庫区西柳原町５－２６,28105,神戸市兵庫区西柳原町５－２６,28105,1939/03/03,1939/03/03,日本オートケミカル工業会,-,-,神戸商工会議所
石原産業,大阪市西区江戸堀１－３－１５,27106,大阪市西区江戸堀１－３－１５,27106,1949/06/01,1949/06/01,日本化学工業協会,日本酸化チタン工業会,農薬工業会,大阪商工会議所
石川製作所,石川県白山市福留町２００,17210,石川県白山市福留町２００,17210,1937/01/25,1937/01/25,石川県鉄工機電協会,-,-,金沢商工会議所
石油資源開発,東京都千代田区丸の内１－７－１２　サピアタワー,13101,東京都千代田区丸の内１－７－１２　サピアタワー,13101,1970/04/01,1970/04/01,石油鉱業連盟,天然ガス鉱業会,-,東京商工会議所
神奈川中央交通,神奈川県平塚市八重咲町６－１８,14203,神奈川県平塚市八重咲町６－１８,14203,1921/06/05,1921/06/05,日本バス協会,神奈川県バス協会,東京バス協会,平塚商工会議所
神戸製鋼所,神戸市中央区脇浜海岸通２－２－４,28110,神戸市中央区脇浜海岸通２－２－４,28110,1911/06/28,1911/06/28,日本鉄鋼連盟,日本産業機械工業会,日本アルミニウム協会,神戸商工会議所
神東塗料,兵庫県尼崎市南塚口町６－１０－７３,28202,兵庫県尼崎市南塚口町６－１０－７３,28202,1933/04/17,1933/04/17,日本塗料工業会,-,-,尼崎商工会議所
神栄,神戸市中央区京町７７－１,28110,神戸市中央区京町７７－１,28110,1887/05/24,1887/05/24,日本貿易会,関西経済連合会,神戸経済同友会,神戸商工会議所
神鋼商事,大阪市中央区北浜２－６－１８,27128,大阪市中央区北浜２－６－１８　淀屋橋スクエア,27128,1946/11/12,1946/11/12,-,-,-,東京商工会議所
